,allcats,soiltype,WTD,rootdepth,LAIIntercept,LAIPx,LAIPETx,LAIP2x,LAIPET2x,aetIntercept,aetPx,aetPETx,aetP2x,aetPET2x,aetgwIntercept,aetgwPx,aetgwPETx,aetgwP2x,aetgwPET2x,gwsubsIntercept,gwsubsPx,gwsubsPETx,gwsubsP2x,gwsubsPET2x
74,silt_2_1,silt,1,2,-0.638601888,0.000813519,0.001960717,-5.35E-07,0.0001001,-77.98118777,0.112567374,-1.402150226,-7.96E-06,0.047660706,0.958467717,-8.15E-05,0.41912155,5.36E-05,2.54E-05,-272.6015399,-0.42078649,1.989507156,5.44E-05,0.035981723
75,siltloam_2_1,siltloam,1,2,-0.582264515,0.000721948,0.004685278,-5.90E-07,7.87E-05,-74.97681332,0.107104097,0.439914161,-8.86E-05,0.034734125,1.153463056,-0.000641614,0.374053866,7.51E-05,-0.001594781,-279.4944064,-0.442639856,3.938805396,-1.22E-05,0.02280269
76,siltyclay_2_1,siltyclay,1,2,-0.492582209,0.000690168,0.008761991,-7.26E-07,4.21E-05,-70.07993571,0.165007393,2.314062211,-0.000215237,0.019702062,1.637856118,-0.014926682,0.27356949,4.72E-05,0.004303976,-288.4228704,-0.273593971,5.925412352,-0.000240058,0.007529207
77,siltyclayloam_2_1,siltyclayloam,1,2,-0.553027192,0.000690647,0.00601775,-6.20E-07,6.74E-05,-73.25513289,0.110471069,1.28057246,-0.000127358,0.028574661,0.183887211,-0.009678771,0.625547105,6.23E-05,-0.001220622,-283.3356737,-0.381021896,4.823835998,-0.000102257,0.016519281
89,clay_2_3,clay,3,2,-0.417648297,0.002122977,0.005816109,-1.07E-06,-1.09E-05,-39.01647529,0.734985601,0.36000287,-0.000317757,0.001708614,2.767257121,-0.001094349,-0.030573446,6.82E-07,8.80E-05,-277.5856564,0.301876658,4.212057521,-0.000338724,-0.011143443
90,clayloam_2_3,clayloam,3,2,-0.412220649,0.002083255,0.008273852,-1.33E-06,-1.66E-05,-42.68426426,0.766146158,1.217931346,-0.000449673,0.000439663,2.767257121,-0.001094349,-0.030573446,6.82E-07,8.80E-05,-283.1845931,0.292861659,5.142915404,-0.000440196,-0.012769467
91,loam_2_3,loam,3,2,-0.398237534,0.001902108,0.010162098,-1.39E-06,-2.12E-05,-45.86597473,0.731113255,1.890097072,-0.000494632,-0.000751899,2.767257121,-0.001094349,-0.030573446,6.82E-07,8.80E-05,-286.5677526,0.233510499,5.833256889,-0.000464084,-0.01404363
92,loamysand_2_3,loamysand,3,2,-0.38012294,0.001476288,0.008725567,-8.30E-07,-1.92E-05,-47.05916825,0.519098824,1.497136033,-0.000261577,-0.000218028,2.767257121,-0.001094349,-0.030573446,6.82E-07,8.80E-05,-280.4771127,-0.006941297,5.387031505,-0.00018173,-0.013411085
93,sandyclay_2_3,sandyclay,3,2,-0.393086867,0.001771931,0.005579461,-6.93E-07,-1.26E-05,-38.65026368,0.550041676,0.413300639,-0.000124119,0.000512817,2.767257121,-0.001094349,-0.030573446,6.82E-07,8.80E-05,-274.7727864,0.164255535,4.088249756,-0.000188616,-0.011490971
94,sandyclayloam_2_3,sandyclayloam,3,2,-0.407494207,0.00200443,0.007753288,-1.19E-06,-1.63E-05,-41.95453536,0.71531322,1.041110767,-0.000376477,0.000373871,2.767257121,-0.001094349,-0.030573446,6.82E-07,8.80E-05,-281.5371704,0.243386021,4.965920278,-0.000375896,-0.012808506
95,sandyloam_2_3,sandyloam,3,2,-0.395387613,0.00183367,0.009078762,-1.19E-06,-1.91E-05,-44.59706318,0.668336719,1.518100502,-0.000389814,-8.61E-05,2.767257121,-0.001094349,-0.030573446,6.82E-07,8.80E-05,-283.7317954,0.192106655,5.410662875,-0.000384704,-0.013193376
96,silt_2_3,silt,3,2,-0.385509552,0.001341274,0.013967604,-1.42E-06,-2.03E-05,-56.86458,0.583484739,3.63595019,-0.000584309,-0.001532198,2.767257121,-0.001094349,-0.030573446,6.82E-07,8.80E-05,-294.9826308,0.031263085,7.609569982,-0.000490176,-0.015017413
97,siltloam_2_3,siltloam,3,2,-0.362101775,0.001235971,0.014853396,-1.36E-06,-2.67E-05,-55.7538051,0.561973511,3.941332873,-0.00056902,-0.003862594,2.769250338,-0.002770648,-0.028215553,3.67E-06,8.03E-05,-295.4985041,-0.002018986,7.906824315,-0.000468196,-0.01723364
98,siltyclay_2_3,siltyclay,3,2,-0.421859452,0.002188601,0.006069859,-1.17E-06,-1.11E-05,-39.37993833,0.768481832,0.442155366,-0.000362353,0.001768332,2.767257121,-0.001094349,-0.030573446,6.82E-07,8.80E-05,-278.6226503,0.320922746,4.333054269,-0.00037205,-0.011272195
99,siltyclayloam_2_3,siltyclayloam,3,2,-0.407638363,0.002035326,0.010132055,-1.51E-06,-2.07E-05,-46.22381633,0.804652191,1.907013507,-0.000576621,-0.000837819,2.767257121,-0.001094349,-0.030573446,6.82E-07,8.80E-05,-287.6282067,0.300471213,5.865346505,-0.000529758,-0.014174065
111,clay_2_6,clay,6,2,-0.410703945,0.001778976,0.003270468,-4.76E-07,-4.27E-06,-36.90776679,0.470365169,-0.328861726,2.83E-05,0.002305397,2.767257121,-0.001094349,-0.030573446,6.82E-07,8.80E-05,-269.1779621,0.039111322,3.443400243,3.77E-06,-0.010307807
112,clayloam_2_6,clayloam,6,2,-0.423165435,0.001972306,0.003276458,-6.63E-07,-3.57E-06,-36.27027763,0.527581202,-0.345770163,-2.28E-05,0.002541583,2.767257121,-0.001094349,-0.030573446,6.82E-07,8.80E-05,-269.6710439,0.056193339,3.490275603,-1.71E-05,-0.01040318
113,loam_2_6,loam,6,2,-0.426902831,0.002052461,0.003486871,-7.62E-07,-4.17E-06,-36.28392946,0.574294124,-0.32998239,-7.28E-05,0.002586576,2.767257121,-0.001094349,-0.030573446,6.82E-07,8.80E-05,-270.3103462,0.078300276,3.530160479,-4.55E-05,-0.010458946
114,loamysand_2_6,loamysand,6,2,-0.433175154,0.001948291,0.003488597,-7.13E-07,-4.43E-06,-38.85085073,0.522196752,-0.331203654,-4.84E-05,0.002446881,2.767257121,-0.001094349,-0.030573446,6.82E-07,8.80E-05,-269.2256683,-0.003429817,3.522468118,3.05E-05,-0.010641664
115,sandyclay_2_6,sandyclay,6,2,-0.393423507,0.001625645,0.00360089,-3.40E-07,-6.65E-06,-37.00165482,0.405177774,-0.16588944,8.44E-05,0.001441806,2.767257121,-0.001094349,-0.030573446,6.82E-07,8.80E-05,-269.0817238,0.020648782,3.457746468,1.75E-05,-0.010408278
116,sandyclayloam_2_6,sandyclayloam,6,2,-0.420037718,0.001946273,0.003315078,-6.37E-07,-3.97E-06,-36.13292016,0.520031283,-0.348690479,-1.32E-05,0.002497807,2.767257121,-0.001094349,-0.030573446,6.82E-07,8.80E-05,-269.7651151,0.049555669,3.50220599,-1.55E-05,-0.01046611
117,sandyloam_2_6,sandyloam,6,2,-0.422637598,0.001977426,0.003402696,-6.81E-07,-4.11E-06,-36.30542606,0.523155434,-0.305966293,-2.13E-05,0.002383654,2.767257121,-0.001094349,-0.030573446,6.82E-07,8.80E-05,-269.9326396,0.048079681,3.519177434,-1.86E-05,-0.010526395
118,silt_2_6,silt,6,2,-0.44660762,0.002272512,0.003753497,-1.03E-06,-4.39E-06,-37.15219415,0.712461704,-0.405372391,-0.00022203,0.003198655,2.767268746,-0.001103573,-0.03056062,6.99E-07,8.80E-05,-271.6120266,0.160776402,3.523856752,-0.000129257,-0.010155641
