,allcats,soiltype,WTD,rootdepth,LAIIntercept,LAIPx,LAIPETx,LAIP2x,LAIPET2x,aetIntercept,aetPx,aetPETx,aetP2x,aetPET2x,aetgwIntercept,aetgwPx,aetgwPETx,aetgwP2x,aetgwPET2x,gwsubsIntercept,gwsubsPx,gwsubsPETx,gwsubsP2x,gwsubsPET2x
185,siltloam_3.6_6,siltloam,6,3.6,-0.452079243,0.002467513,0.004812327,-1.32E-06,-6.84E-06,-39.77875407,0.975256936,-0.431432456,-0.000525072,0.004591878,2.767257121,-0.001094349,-0.030573446,6.82E-07,8.80E-05,-276.5588678,0.401442391,3.5454884,-0.000405338,-0.008860766
186,siltyclay_3.6_6,siltyclay,6,3.6,-0.427832583,0.001913037,0.003319545,-6.45E-07,-3.48E-06,-37.81965138,0.601521732,-0.527173037,-0.000106108,0.003499065,2.767257121,-0.001094349,-0.030573446,6.82E-07,8.80E-05,-270.4315613,0.146353925,3.317148093,-9.97E-05,-0.009431019
187,siltyclayloam_3.6_6,siltyclayloam,6,3.6,-0.450264096,0.002243113,0.003693035,-1.02E-06,-3.83E-06,-38.36660524,0.779216217,-0.604198191,-0.000292735,0.004353283,2.767257121,-0.001094349,-0.030573446,6.82E-07,8.80E-05,-272.5634213,0.26779924,3.303349073,-0.000229795,-0.008865968
188,clay_3.6_12,clay,12,3.6,-0.423542839,0.001706446,0.003047567,-4.47E-07,-3.95E-06,-38.26633681,0.428684281,-0.439465458,6.31E-05,0.002519804,2.767257121,-0.001094349,-0.030573446,6.82E-07,8.80E-05,NA,NA,NA,NA,NA
189,clayloam_3.6_12,clayloam,12,3.6,-0.441043769,0.001921928,0.002801569,-6.39E-07,-2.26E-06,-37.56727457,0.469143894,-0.501158764,3.32E-05,0.0028493,2.767257121,-0.001094349,-0.030573446,6.82E-07,8.80E-05,NA,NA,NA,NA,NA
190,loam_3.6_12,loam,12,3.6,-0.446740646,0.002008923,0.00276481,-7.19E-07,-1.96E-06,-37.34197327,0.494622711,-0.5236023,1.07E-05,0.00294992,2.767257121,-0.001094349,-0.030573446,6.82E-07,8.80E-05,NA,NA,NA,NA,NA
191,loamysand_3.6_12,loamysand,12,3.6,-0.448272501,0.002105142,0.002642516,-7.78E-07,-1.24E-06,-36.11641665,0.499989375,-0.556551394,2.16E-05,0.003131833,2.767257121,-0.001094349,-0.030573446,6.82E-07,8.80E-05,NA,NA,NA,NA,NA
192,sandyclay_3.6_12,sandyclay,12,3.6,-0.40315154,0.001595358,0.003297834,-3.19E-07,-5.91E-06,-37.61603909,0.3712491,-0.281300427,0.000120208,0.001709125,2.767257121,-0.001094349,-0.030573446,6.82E-07,8.80E-05,NA,NA,NA,NA,NA
193,sandyclayloam_3.6_12,sandyclayloam,12,3.6,-0.436889508,0.001932057,0.002769145,-6.25E-07,-2.38E-06,-37.00853135,0.469039574,-0.522514091,4.12E-05,0.002889804,2.767257121,-0.001094349,-0.030573446,6.82E-07,8.80E-05,NA,NA,NA,NA,NA
194,sandyloam_3.6_12,sandyloam,12,3.6,-0.441421421,0.001999885,0.002718863,-6.85E-07,-1.86E-06,-36.77629808,0.473502979,-0.502512422,3.80E-05,0.002861154,2.767257121,-0.001094349,-0.030573446,6.82E-07,8.80E-05,NA,NA,NA,NA,NA
195,silt_3.6_12,silt,12,3.6,-0.469719501,0.002115211,0.002830031,-8.94E-07,-1.69E-06,-38.64520022,0.55516745,-0.584443598,-6.36E-05,0.003248807,2.767268222,-0.001103157,-0.030561197,6.98E-07,8.80E-05,NA,NA,NA,NA,NA
196,siltloam_3.6_12,siltloam,12,3.6,-0.4618778,0.002149361,0.002868877,-8.92E-07,-2.15E-06,-37.66686861,0.560353823,-0.55791275,-5.94E-05,0.003074776,2.767257121,-0.001094349,-0.030573446,6.82E-07,8.80E-05,NA,NA,NA,NA,NA
197,siltyclay_3.6_12,siltyclay,12,3.6,-0.432400173,0.001783178,0.002944257,-5.24E-07,-3.21E-06,-38.14217645,0.442642849,-0.471381587,5.21E-05,0.002688842,2.767257121,-0.001094349,-0.030573446,6.82E-07,8.80E-05,NA,NA,NA,NA,NA
198,siltyclayloam_3.6_12,siltyclayloam,12,3.6,-0.450444124,0.00195907,0.00287853,-7.13E-07,-2.36E-06,-38.17300145,0.498461775,-0.514547314,-3.59E-06,0.002919108,2.767257121,-0.001094349,-0.030573446,6.82E-07,8.80E-05,NA,NA,NA,NA,NA
